transaction_id,user_id,created_at,transaction_type,amount_usd,status,acquisition_channel,destination_country
txn_4typ3zus98,usr_0ifd0tvb,2024-01-12 01:07:01,PHONE_RELOAD,57.85,COMPLETE,organic_search,MX
txn_zd7scrv3ho,usr_hxthv3a3,2024-08-06 08:10:59,REMITTANCE,65.58,COMPLETE,organic_search,MX
txn_sxf8lsmg9r,usr_hxthv3a3,2024-09-08 08:10:59,REMITTANCE,89.18,COMPLETE,organic_search,MX
txn_binmyxdhz0,usr_hxthv3a3,2024-10-09 08:10:59,REMITTANCE,102.4,CANCELLED,organic_search,MX
txn_lqdwb32ins,usr_hxthv3a3,2024-11-20 08:10:59,REMITTANCE,66.91,CANCELLED,organic_search,MX
txn_lk4ktcm2vs,usr_mdd4v30t,2024-10-25 15:16:51,REMITTANCE,43.28,COMPLETE,paid_meta,MX
txn_6cevpoui0o,usr_w5ngcx19,2024-11-18 03:36:42,REMITTANCE,54.16,COMPLETE,organic_search,HN
txn_2n4xxzu368,usr_w5ngcx19,2024-12-10 03:36:42,REMITTANCE,84.66,PAID,organic_search,HN
txn_g430lr3ooz,usr_wnnhj7xv,2024-06-26 16:05:25,REMITTANCE,24.3,COMPLETE,paid_google,GT
txn_udnmopg8ux,usr_wnnhj7xv,2024-07-12 16:05:25,PHONE_RELOAD,49.39,PAID,paid_google,GT
txn_11nae2dwbn,usr_wnnhj7xv,2024-08-18 16:05:25,REMITTANCE,52.19,CANCELLED,paid_google,GT
txn_zrb7eyb4iw,usr_j7yhl1c3,2024-05-27 13:46:51,REMITTANCE,50.05,COMPLETE,paid_meta,MX
txn_7f1up4phfa,usr_5lxo6qji,2024-08-08 19:30:04,REMITTANCE,45.6,COMPLETE,paid_meta,MX
txn_nrqdwao4rk,usr_oh9sdbdw,2024-08-16 15:55:15,BILL_PAYMENT,107.25,COMPLETE,organic_search,MX
txn_j3hio0a89j,usr_oh9sdbdw,2024-09-29 15:55:15,REMITTANCE,49.55,COMPLETE,organic_search,MX
txn_bm8pe4l9ev,usr_oh9sdbdw,2024-10-28 15:55:15,REMITTANCE,66.47,PAID,organic_search,MX
txn_ejrsbblbad,usr_vqjt7ye5,2024-05-30 10:56:58,REMITTANCE,49.9,COMPLETE,paid_meta,SV
txn_bcuc6bhslo,usr_pq85jsg6,2024-04-24 01:37:10,BILL_PAYMENT,49.62,COMPLETE,paid_meta,MX
txn_0k41iu8tjh,usr_hnf877vr,2024-08-26 04:00:49,REMITTANCE,59.46,COMPLETE,organic_search,MX
txn_8mexwxzmcd,usr_hnf877vr,2024-09-18 04:00:49,BILL_PAYMENT,99.92,COMPLETE,organic_search,MX
txn_mk0ufucguw,usr_hnf877vr,2024-10-04 04:00:49,PHONE_RELOAD,45.46,COMPLETE,organic_search,MX
txn_1fuzy9op9n,usr_lc58drc1,2024-11-10 13:41:10,REMITTANCE,43.0,COMPLETE,email,MX
txn_64623ahw9t,usr_fsv871yz,2024-08-03 05:32:27,REMITTANCE,49.38,COMPLETE,paid_google,GT
txn_tsof1xw53z,usr_qicatvaz,2024-07-20 03:09:23,REMITTANCE,78.89,COMPLETE,paid_google,MX
txn_s5qmlcli3d,usr_ciyhe7ur,2024-05-09 15:49:00,PHONE_RELOAD,37.71,COMPLETE,paid_meta,SV
txn_oqcez5xteb,usr_xmo5bxxc,2024-02-10 01:27:38,REMITTANCE,41.75,COMPLETE,paid_meta,SV
txn_89lpbs1gya,usr_gqpki7p5,2024-03-18 05:44:56,REMITTANCE,31.48,COMPLETE,paid_meta,MX
txn_jvxgl1qgou,usr_ad1ior56,2024-11-21 14:20:30,REMITTANCE,71.98,COMPLETE,email,MX
txn_d0lq1mz9k3,usr_2kz02xrg,2024-11-02 11:04:03,PHONE_RELOAD,8.8,COMPLETE,paid_google,MX
txn_3nd73lp62t,usr_2kz02xrg,2024-11-19 11:04:03,REMITTANCE,48.38,PAID,paid_google,MX
txn_kp9xco59av,usr_2kz02xrg,2024-12-23 11:04:03,REMITTANCE,52.97,COMPLETE,paid_google,MX
txn_pzgrspiw06,usr_0cvs4f8c,2024-01-26 02:09:56,REMITTANCE,4.47,COMPLETE,referral,MX
txn_1uiw5e1qml,usr_o7uubcxu,2024-04-02 11:15:33,BILL_PAYMENT,58.48,COMPLETE,organic_search,MX
txn_tax28906qn,usr_o7uubcxu,2024-04-24 11:15:33,PHONE_RELOAD,95.05,COMPLETE,organic_search,MX
txn_zy6n78jp28,usr_o7uubcxu,2024-06-01 11:15:33,BILL_PAYMENT,71.35,PAID,organic_search,MX
txn_kup5gsu572,usr_o7uubcxu,2024-07-07 11:15:33,REMITTANCE,71.03,COMPLETE,organic_search,MX
txn_287zf1a79o,usr_o7uubcxu,2024-08-07 11:15:33,REMITTANCE,68.14,COMPLETE,organic_search,MX
txn_mmk4wl656d,usr_o7uubcxu,2024-08-27 11:15:33,PHONE_RELOAD,59.69,FAILED,organic_search,MX
txn_mih6spgy5a,usr_o7uubcxu,2024-09-13 11:15:33,BILL_PAYMENT,43.2,PAYABLE,organic_search,MX
txn_md3szxdf0n,usr_ioykl1cq,2024-05-04 01:24:21,REMITTANCE,53.87,COMPLETE,organic_search,CO
txn_8hpby37gag,usr_ioykl1cq,2024-06-07 01:24:21,REMITTANCE,50.57,COMPLETE,organic_search,CO
txn_7xochatndf,usr_ioykl1cq,2024-07-09 01:24:21,REMITTANCE,84.16,COMPLETE,organic_search,CO
txn_sa8zovs32y,usr_semcikpt,2024-03-24 14:44:31,REMITTANCE,46.79,COMPLETE,paid_meta,CO
txn_jxi9b7c8do,usr_a3kx7eed,2024-07-25 17:05:04,PHONE_RELOAD,72.31,COMPLETE,referral,MX
txn_nlc1tlw78f,usr_a3kx7eed,2024-08-17 17:05:04,BILL_PAYMENT,50.68,COMPLETE,referral,MX
txn_sscn9obxc5,usr_a3kx7eed,2024-09-06 17:05:04,BILL_PAYMENT,99.18,COMPLETE,referral,MX
txn_adjxh3w6z6,usr_a3kx7eed,2024-10-08 17:05:04,REMITTANCE,68.38,COMPLETE,referral,MX
txn_wtk95h36pc,usr_a3kx7eed,2024-10-23 17:05:04,REMITTANCE,78.72,COMPLETE,referral,MX
txn_hshjj4q2xa,usr_a3kx7eed,2024-11-23 17:05:04,REMITTANCE,83.03,COMPLETE,referral,MX
txn_xam7bpqjm7,usr_a3kx7eed,2024-12-08 17:05:04,PHONE_RELOAD,93.04,COMPLETE,referral,MX
txn_rcq1m0cu2t,usr_my4sj6bw,2024-10-06 08:37:49,REMITTANCE,71.66,COMPLETE,organic_search,MX
txn_ytmxbv9mdp,usr_my4sj6bw,2024-10-31 08:37:49,REMITTANCE,46.54,COMPLETE,organic_search,MX
txn_3ppmblc09e,usr_my4sj6bw,2024-11-14 08:37:49,PHONE_RELOAD,62.05,COMPLETE,organic_search,MX
txn_i81n0gjof9,usr_my4sj6bw,2024-12-16 08:37:49,REMITTANCE,65.45,COMPLETE,organic_search,MX
txn_b6884rojvv,usr_wj0tpac5,2024-02-22 09:19:39,REMITTANCE,39.52,COMPLETE,paid_meta,MX
txn_g9sx3koiex,usr_tpbn78bm,2024-08-14 08:22:57,REMITTANCE,33.9,COMPLETE,referral,GT
txn_91jy4xmalu,usr_5owf7593,2024-08-07 05:29:33,BILL_PAYMENT,45.14,COMPLETE,paid_google,MX
txn_qyuyqrjzbz,usr_5owf7593,2024-09-06 05:29:33,REMITTANCE,59.85,COMPLETE,paid_google,MX
txn_ysj8oyrhkk,usr_2oy0ifzn,2024-05-11 20:11:34,REMITTANCE,66.55,COMPLETE,referral,MX
txn_42jfutgshx,usr_2oy0ifzn,2024-05-28 20:11:34,REMITTANCE,72.81,PAID,referral,MX
txn_yvklu1eao1,usr_2oy0ifzn,2024-06-19 20:11:34,REMITTANCE,90.87,PAID,referral,MX
txn_pkubxdhqcl,usr_m35ixokc,2024-06-30 02:20:13,REMITTANCE,40.04,COMPLETE,paid_meta,MX
txn_iinjv5s1hh,usr_9t7e8g8j,2024-09-21 06:34:04,REMITTANCE,67.12,COMPLETE,paid_google,MX
txn_x9gvuqizbd,usr_9t7e8g8j,2024-10-30 06:34:04,REMITTANCE,56.07,COMPLETE,paid_google,MX
txn_k9jryx4b18,usr_9t7e8g8j,2024-12-14 06:34:04,REMITTANCE,75.93,PAID,paid_google,MX
txn_n29mrqvd7x,usr_p9e6gbps,2024-05-03 11:41:04,PHONE_RELOAD,68.47,COMPLETE,organic_search,GT
txn_o60db5a3zr,usr_p9e6gbps,2024-05-30 11:41:04,BILL_PAYMENT,47.09,FAILED,organic_search,GT
txn_4626s2qqcz,usr_p9e6gbps,2024-06-26 11:41:04,BILL_PAYMENT,87.62,COMPLETE,organic_search,GT
txn_nsgolcbtl9,usr_yncxll4z,2024-10-13 18:41:21,BILL_PAYMENT,23.37,COMPLETE,direct,MX
txn_ytc84ve41w,usr_yncxll4z,2024-11-16 18:41:21,PHONE_RELOAD,83.26,PAID,direct,MX
txn_nxj8uwowkz,usr_ztgxn0gu,2024-06-08 00:38:36,REMITTANCE,83.64,COMPLETE,paid_google,SV
txn_qizkqoelu8,usr_puxqphr6,2024-03-23 16:02:40,REMITTANCE,41.92,COMPLETE,paid_meta,MX
txn_14jz4jka0j,usr_xwd8il3f,2024-07-21 12:21:39,PHONE_RELOAD,39.39,COMPLETE,paid_meta,CO
txn_bp8b1vfo0g,usr_cowgzrix,2024-10-26 02:50:23,REMITTANCE,75.73,COMPLETE,organic_search,SV
txn_0kqhj9zu0f,usr_2h2zqu7e,2024-02-13 04:27:56,BILL_PAYMENT,97.96,COMPLETE,referral,MX
txn_y3o3lj0n6q,usr_v86wzs3t,2024-08-07 15:33:40,REMITTANCE,76.34,COMPLETE,paid_google,GT
txn_8rcczgvzmz,usr_14j1ripz,2024-04-11 23:50:25,REMITTANCE,27.92,COMPLETE,paid_google,MX
txn_lzawr7zj8f,usr_eiyzcoto,2024-02-04 07:02:17,REMITTANCE,73.86,COMPLETE,direct,MX
txn_khdy4qf1ad,usr_8a5ur7ko,2024-08-15 02:00:52,REMITTANCE,6.4,COMPLETE,direct,SV
txn_dp0lo2k9qu,usr_tvhhpbmy,2024-10-14 19:17:08,REMITTANCE,71.69,COMPLETE,paid_google,MX
txn_zqe54pfmic,usr_tvhhpbmy,2024-11-03 19:17:08,REMITTANCE,79.29,COMPLETE,paid_google,MX
txn_s9jrmbk39s,usr_9t6vxdp5,2024-02-21 06:34:38,BILL_PAYMENT,53.82,COMPLETE,paid_google,MX
txn_6l2mxg6ibw,usr_9t6vxdp5,2024-03-07 06:34:38,BILL_PAYMENT,62.62,COMPLETE,paid_google,MX
txn_2y3znp8kai,usr_l1n13jca,2024-06-26 10:06:17,REMITTANCE,66.95,COMPLETE,paid_meta,CO
txn_youhif806q,usr_c8bbi4wi,2024-09-10 02:46:55,PHONE_RELOAD,24.43,COMPLETE,paid_meta,MX
txn_blien3416u,usr_z1gv0e38,2024-07-02 09:25:51,REMITTANCE,88.23,COMPLETE,direct,MX
txn_ep9mnrn8wn,usr_z1gv0e38,2024-08-11 09:25:51,REMITTANCE,25.96,COMPLETE,direct,MX
txn_eg7v48tpg7,usr_z1gv0e38,2024-09-11 09:25:51,REMITTANCE,55.55,COMPLETE,direct,MX
txn_5ipbxmmnr1,usr_6n7hv3iz,2024-09-20 21:20:03,REMITTANCE,42.65,COMPLETE,paid_meta,GT
txn_rsvh4g2j53,usr_92mpnsm4,2024-11-06 07:22:31,REMITTANCE,36.59,COMPLETE,referral,MX
txn_wrye7pdjnl,usr_6qfgsxw7,2024-09-04 05:04:57,BILL_PAYMENT,64.21,COMPLETE,email,MX
txn_yj5q0s9ajy,usr_6qfgsxw7,2024-09-27 05:04:57,REMITTANCE,43.48,COMPLETE,email,MX
txn_cuj1u5xi18,usr_j43d5iqv,2024-08-20 11:15:49,REMITTANCE,71.66,COMPLETE,referral,MX
txn_36sr7i0sas,usr_rmjkv5us,2024-03-12 06:52:13,PHONE_RELOAD,24.15,COMPLETE,direct,MX
txn_lx9beahza9,usr_1yxr2dhy,2024-08-03 16:37:02,REMITTANCE,53.58,COMPLETE,paid_google,MX
txn_n8h8s3p2vw,usr_m9tmqliz,2024-07-27 00:33:03,BILL_PAYMENT,29.62,COMPLETE,paid_google,GT
txn_dzup68c656,usr_ghr09skd,2024-09-25 09:47:26,BILL_PAYMENT,72.41,COMPLETE,email,MX
txn_5ofq3w32j6,usr_ghr09skd,2024-10-31 09:47:26,PHONE_RELOAD,34.48,COMPLETE,email,MX
txn_4n5fic40n8,usr_zebbk7w1,2024-01-06 21:52:20,REMITTANCE,36.5,COMPLETE,paid_meta,MX
txn_m47whkumci,usr_pgb7r3oc,2024-07-07 00:56:23,REMITTANCE,17.07,COMPLETE,paid_meta,MX
