user_id,acquisition_channel,signup_date,country_origin,destination_country
usr_0ifd0tvb,organic_search,2024-01-10 17:07:01,US,MX
usr_hxthv3a3,organic_search,2024-08-05 23:10:59,US,MX
usr_mdd4v30t,paid_meta,2024-10-23 12:16:51,MX,MX
usr_w5ngcx19,organic_search,2024-11-18 02:36:42,CA,HN
usr_wnnhj7xv,paid_google,2024-06-25 02:05:25,US,GT
usr_j7yhl1c3,paid_meta,2024-05-27 08:46:51,US,MX
usr_5lxo6qji,paid_meta,2024-08-08 06:30:04,US,MX
usr_oh9sdbdw,organic_search,2024-08-14 14:55:15,US,MX
usr_vqjt7ye5,paid_meta,2024-05-28 04:56:58,US,SV
usr_pq85jsg6,paid_meta,2024-04-23 23:37:10,CA,MX
usr_hnf877vr,organic_search,2024-08-24 12:00:49,US,MX
usr_lc58drc1,email,2024-11-09 07:41:10,US,MX
usr_fsv871yz,paid_google,2024-08-01 12:32:27,US,GT
usr_qicatvaz,paid_google,2024-07-20 00:09:23,US,MX
usr_ciyhe7ur,paid_meta,2024-05-08 07:49:00,US,SV
usr_xmo5bxxc,paid_meta,2024-02-07 15:27:38,US,SV
usr_gqpki7p5,paid_meta,2024-03-15 09:44:56,US,MX
usr_ad1ior56,email,2024-11-20 16:20:30,US,MX
usr_2kz02xrg,paid_google,2024-10-31 12:04:03,US,MX
usr_0cvs4f8c,referral,2024-01-24 16:09:56,US,MX
usr_o7uubcxu,organic_search,2024-04-01 08:15:33,US,MX
usr_ioykl1cq,organic_search,2024-05-02 00:24:21,MX,CO
usr_semcikpt,paid_meta,2024-03-23 18:44:31,US,CO
usr_a3kx7eed,referral,2024-07-24 10:05:04,US,MX
usr_my4sj6bw,organic_search,2024-10-05 16:37:49,US,MX
usr_wj0tpac5,paid_meta,2024-02-20 19:19:39,CA,MX
usr_tpbn78bm,referral,2024-08-14 05:22:57,US,GT
usr_5owf7593,paid_google,2024-08-05 10:29:33,CA,MX
usr_2oy0ifzn,referral,2024-05-09 00:11:34,US,MX
usr_m35ixokc,paid_meta,2024-06-27 18:20:13,US,MX
usr_9t7e8g8j,paid_google,2024-09-20 21:34:04,US,MX
usr_p9e6gbps,organic_search,2024-05-01 19:41:04,US,GT
usr_yncxll4z,direct,2024-10-13 05:41:21,US,MX
usr_ztgxn0gu,paid_google,2024-06-05 06:38:36,US,SV
usr_puxqphr6,paid_meta,2024-03-22 15:02:40,US,MX
usr_xwd8il3f,paid_meta,2024-07-19 04:21:39,US,CO
usr_cowgzrix,organic_search,2024-10-25 10:50:23,US,SV
usr_2h2zqu7e,referral,2024-02-11 09:27:56,US,MX
usr_v86wzs3t,paid_google,2024-08-05 01:33:40,CA,GT
usr_14j1ripz,paid_google,2024-04-10 15:50:25,US,MX
usr_eiyzcoto,direct,2024-02-01 07:02:17,US,MX
usr_8a5ur7ko,direct,2024-08-14 20:00:52,CA,SV
usr_tvhhpbmy,paid_google,2024-10-12 07:17:08,US,MX
usr_9t6vxdp5,paid_google,2024-02-19 13:34:38,US,MX
usr_l1n13jca,paid_meta,2024-06-25 14:06:17,US,CO
usr_c8bbi4wi,paid_meta,2024-09-09 11:46:55,US,MX
usr_z1gv0e38,direct,2024-06-29 14:25:51,US,MX
usr_6n7hv3iz,paid_meta,2024-09-20 01:20:03,US,GT
usr_92mpnsm4,referral,2024-11-05 05:22:31,US,MX
usr_6qfgsxw7,email,2024-09-03 20:04:57,US,MX
usr_j43d5iqv,referral,2024-08-18 02:15:49,US,MX
usr_rmjkv5us,direct,2024-03-11 14:52:13,US,MX
usr_1yxr2dhy,paid_google,2024-08-03 14:37:02,US,MX
usr_m9tmqliz,paid_google,2024-07-25 04:33:03,US,GT
